Year,GeoTypeName,Borough,Geography,Geography ID,Indicator Name,10th Percentile (absorbance units),90th Percentile (absorbance units),Mean (absorbance units),Notes 10th Percentile,Notes 90th Percentile,Notes Mean
Summer 2018,Neighborhood (UHF 34),Brooklyn, Downtown - Heights - Slope,202,Black Carbon,0.9,1.2,1,,,
Winter 2012-13,Neighborhood (UHF 34),Brooklyn, Downtown - Heights - Slope,202,Black Carbon,1,1.3,1.1,,,
Winter 2013-14,Neighborhood (UHF 34),Brooklyn, Downtown - Heights - Slope,202,Black Carbon,1,1.4,1.1,,,
Winter 2014-15,Neighborhood (UHF 34),Brooklyn, Downtown - Heights - Slope,202,Black Carbon,0.9,1.3,1.1,,,
Winter 2015-16,Neighborhood (UHF 34),Brooklyn, Downtown - Heights - Slope,202,Black Carbon,0.9,1.2,1,,,
Winter 2016-17,Neighborhood (UHF 34),Brooklyn, Downtown - Heights - Slope,202,Black Carbon,0.7,1,0.8,,,
Winter 2017-18,Neighborhood (UHF 34),Brooklyn, Downtown - Heights - Slope,202,Black Carbon,0.8,1.1,0.9,,,
Summer 2012,Neighborhood (UHF 34),Brooklyn, East Flatbush - Flatbush,207,Black Carbon,0.9,1.1,1,,,
Summer 2013,Neighborhood (UHF 34),Brooklyn, East Flatbush - Flatbush,207,Black Carbon,0.8,1,0.9,,,
Summer 2014,Neighborhood (UHF 34),Brooklyn, East Flatbush - Flatbush,207,Black Carbon,0.7,1,0.8,,,
Summer 2015,Neighborhood (UHF 34),Brooklyn, East Flatbush - Flatbush,207,Black Carbon,0.8,0.9,0.8,,,
Summer 2016,Neighborhood (UHF 34),Brooklyn, East Flatbush - Flatbush,207,Black Carbon,0.7,0.9,0.8,,,
Summer 2017,Neighborhood (UHF 34),Brooklyn, East Flatbush - Flatbush,207,Black Carbon,0.7,0.9,0.8,,,
Summer 2018,Neighborhood (UHF 34),Brooklyn, East Flatbush - Flatbush,207,Black Carbon,0.6,0.8,0.7,,,
Winter 2012-13,Neighborhood (UHF 34),Brooklyn, East Flatbush - Flatbush,207,Black Carbon,0.8,1,0.9,,,
Winter 2013-14,Neighborhood (UHF 34),Brooklyn, East Flatbush - Flatbush,207,Black Carbon,0.7,0.9,0.8,,,
Winter 2014-15,Neighborhood (UHF 34),Brooklyn, East Flatbush - Flatbush,207,Black Carbon,0.7,0.9,0.8,,,
Winter 2015-16,Neighborhood (UHF 34),Brooklyn, East Flatbush - Flatbush,207,Black Carbon,0.7,0.9,0.8,,,
Winter 2016-17,Neighborhood (UHF 34),Brooklyn, East Flatbush - Flatbush,207,Black Carbon,0.6,0.7,0.7,,,
Winter 2017-18,Neighborhood (UHF 34),Brooklyn, East Flatbush - Flatbush,207,Black Carbon,0.7,0.8,0.7,,,
Summer 2012,Neighborhood (UHF 34),Manhattan, East Harlem,303,Black Carbon,1.2,1.4,1.3,,,
Summer 2013,Neighborhood (UHF 34),Manhattan, East Harlem,303,Black Carbon,1.2,1.4,1.3,,,
Summer 2014,Neighborhood (UHF 34),Manhattan, East Harlem,303,Black Carbon,1.2,1.4,1.3,,,
Summer 2015,Neighborhood (UHF 34),Manhattan, East Harlem,303,Black Carbon,1.1,1.3,1.2,,,
Summer 2016,Neighborhood (UHF 34),Manhattan, East Harlem,303,Black Carbon,1.1,1.3,1.2,,,
Summer 2017,Neighborhood (UHF 34),Manhattan, East Harlem,303,Black Carbon,1,1.2,1.1,,,
Summer 2018,Neighborhood (UHF 34),Manhattan, East Harlem,303,Black Carbon,0.8,1,0.9,,,
Winter 2012-13,Neighborhood (UHF 34),Manhattan, East Harlem,303,Black Carbon,1.3,1.5,1.4,,,
Winter 2013-14,Neighborhood (UHF 34),Manhattan, East Harlem,303,Black Carbon,1.3,1.5,1.4,,,
Winter 2014-15,Neighborhood (UHF 34),Manhattan, East Harlem,303,Black Carbon,1.1,1.2,1.1,,,
Winter 2015-16,Neighborhood (UHF 34),Manhattan, East Harlem,303,Black Carbon,1,1.2,1.1,,,
Winter 2016-17,Neighborhood (UHF 34),Manhattan, East Harlem,303,Black Carbon,0.8,1,0.9,,,
Winter 2017-18,Neighborhood (UHF 34),Manhattan, East Harlem,303,Black Carbon,0.8,0.9,0.9,,,
Summer 2012,Neighborhood (UHF 34),Brooklyn, East New York,204,Black Carbon,0.9,1.3,1,,,
Summer 2013,Neighborhood (UHF 34),Brooklyn, East New York,204,Black Carbon,0.8,1.2,1,,,
Summer 2014,Neighborhood (UHF 34),Brooklyn, East New York,204,Black Carbon,0.7,1.1,0.9,,,
Summer 2015,Neighborhood (UHF 34),Brooklyn, East New York,204,Black Carbon,0.7,1.1,0.9,,,
Summer 2016,Neighborhood (UHF 34),Brooklyn, East New York,204,Black Carbon,0.7,1.1,0.9,,,
Summer 2017,Neighborhood (UHF 34),Brooklyn, East New York,204,Black Carbon,0.7,1,0.8,,,
Summer 2018,Neighborhood (UHF 34),Brooklyn, East New York,204,Black Carbon,0.7,0.9,0.8,,,
Winter 2012-13,Neighborhood (UHF 34),Brooklyn, East New York,204,Black Carbon,0.7,1.1,0.9,,,
Winter 2013-14,Neighborhood (UHF 34),Brooklyn, East New York,204,Black Carbon,0.7,1,0.8,,,
Winter 2014-15,Neighborhood (UHF 34),Brooklyn, East New York,204,Black Carbon,0.7,1.1,0.8,,,
Winter 2015-16,Neighborhood (UHF 34),Brooklyn, East New York,204,Black Carbon,0.7,1.1,0.9,,,
Winter 2016-17,Neighborhood (UHF 34),Brooklyn, East New York,204,Black Carbon,0.6,0.9,0.7,,,
Winter 2017-18,Neighborhood (UHF 34),Brooklyn, East New York,204,Black Carbon,0.7,0.9,0.8,,,
Summer 2012,Neighborhood (UHF 34),Queens, Flushing - Clearview,403,Black Carbon,0.8,1.2,1,,,
Summer 2013,Neighborhood (UHF 34),Queens, Flushing - Clearview,403,Black Carbon,0.8,1.2,1,,,
