Year,GeoTypeName,Borough,Geography,Geography ID,Indicator Name,10th Percentile (ppb),90th Percentile (ppb),Mean (ppb),Notes 10th Percentile,Notes 90th Percentile,Notes Mean
Summer 2015,Neighborhood (UHF 34),Brooklyn, Borough Park,206,Nitrogen Dioxide (NO2),13.2,15.9,14.6,,,
Summer 2016,Neighborhood (UHF 34),Brooklyn, Borough Park,206,Nitrogen Dioxide (NO2),12.7,15.7,14.3,,,
Summer 2017,Neighborhood (UHF 34),Brooklyn, Borough Park,206,Nitrogen Dioxide (NO2),12.4,15,13.8,,,
Summer 2018,Neighborhood (UHF 34),Brooklyn, Borough Park,206,Nitrogen Dioxide (NO2),11.1,14.1,12.6,,,
Summer 2019,Neighborhood (UHF 34),Brooklyn, Borough Park,206,Nitrogen Dioxide (NO2),11.9,15.3,13.6,,,
Winter 2014-15,Neighborhood (UHF 34),Brooklyn, Borough Park,206,Nitrogen Dioxide (NO2),24.8,26.6,25.8,,,
Winter 2015-16,Neighborhood (UHF 34),Brooklyn, Borough Park,206,Nitrogen Dioxide (NO2),22.6,24.7,23.7,,,
Winter 2016-17,Neighborhood (UHF 34),Brooklyn, Borough Park,206,Nitrogen Dioxide (NO2),24.1,25.9,25,,,
Winter 2017-18,Neighborhood (UHF 34),Brooklyn, Borough Park,206,Nitrogen Dioxide (NO2),22.6,25.8,24.2,,,
Winter 2018-19,Neighborhood (UHF 34),Brooklyn, Borough Park,206,Nitrogen Dioxide (NO2),20.5,23.1,21.8,,,
Summer 2015,Neighborhood (UHF 34),Brooklyn, Canarsie - Flatlands,208,Nitrogen Dioxide (NO2),6,13.8,10.8,,,
Summer 2016,Neighborhood (UHF 34),Brooklyn, Canarsie - Flatlands,208,Nitrogen Dioxide (NO2),5.2,13,10,,,
Summer 2017,Neighborhood (UHF 34),Brooklyn, Canarsie - Flatlands,208,Nitrogen Dioxide (NO2),5.7,13.1,10.3,,,
Summer 2018,Neighborhood (UHF 34),Brooklyn, Canarsie - Flatlands,208,Nitrogen Dioxide (NO2),4.6,12.5,9.1,,,
Summer 2019,Neighborhood (UHF 34),Brooklyn, Canarsie - Flatlands,208,Nitrogen Dioxide (NO2),5.2,12.5,9.2,,,
Winter 2014-15,Neighborhood (UHF 34),Brooklyn, Canarsie - Flatlands,208,Nitrogen Dioxide (NO2),19.1,25.5,23.1,,,
Winter 2015-16,Neighborhood (UHF 34),Brooklyn, Canarsie - Flatlands,208,Nitrogen Dioxide (NO2),16.7,23.5,20.9,,,
Winter 2016-17,Neighborhood (UHF 34),Brooklyn, Canarsie - Flatlands,208,Nitrogen Dioxide (NO2),18.8,25.1,22.8,,,
Winter 2017-18,Neighborhood (UHF 34),Brooklyn, Canarsie - Flatlands,208,Nitrogen Dioxide (NO2),15.2,24.6,20.5,,,
Winter 2018-19,Neighborhood (UHF 34),Brooklyn, Canarsie - Flatlands,208,Nitrogen Dioxide (NO2),14.3,22.1,18.7,,,
Summer 2015,Neighborhood (UHF 34),Manhattan, Central Harlem - Morningside Heights,302,Nitrogen Dioxide (NO2),17.4,20.4,19,,,
Summer 2016,Neighborhood (UHF 34),Manhattan, Central Harlem - Morningside Heights,302,Nitrogen Dioxide (NO2),16.5,19.5,18.1,,,
Summer 2017,Neighborhood (UHF 34),Manhattan, Central Harlem - Morningside Heights,302,Nitrogen Dioxide (NO2),17.2,20.4,18.9,,,
Summer 2018,Neighborhood (UHF 34),Manhattan, Central Harlem - Morningside Heights,302,Nitrogen Dioxide (NO2),15.4,18.2,16.9,,,
Summer 2019,Neighborhood (UHF 34),Manhattan, Central Harlem - Morningside Heights,302,Nitrogen Dioxide (NO2),15.6,17.9,16.8,,,
Winter 2014-15,Neighborhood (UHF 34),Manhattan, Central Harlem - Morningside Heights,302,Nitrogen Dioxide (NO2),25.3,28,26.7,,,
Winter 2015-16,Neighborhood (UHF 34),Manhattan, Central Harlem - Morningside Heights,302,Nitrogen Dioxide (NO2),24.3,27,25.7,,,
Winter 2016-17,Neighborhood (UHF 34),Manhattan, Central Harlem - Morningside Heights,302,Nitrogen Dioxide (NO2),26.9,29.8,28.5,,,
Winter 2017-18,Neighborhood (UHF 34),Manhattan, Central Harlem - Morningside Heights,302,Nitrogen Dioxide (NO2),26.2,28.5,27.5,,,
Winter 2018-19,Neighborhood (UHF 34),Manhattan, Central Harlem - Morningside Heights,302,Nitrogen Dioxide (NO2),23.6,25.6,24.7,,,
Summer 2015,Neighborhood (UHF 34),Manhattan, Chelsea-Village,306308,Nitrogen Dioxide (NO2),20.2,30.1,24.5,,,
Summer 2016,Neighborhood (UHF 34),Manhattan, Chelsea-Village,306308,Nitrogen Dioxide (NO2),19.9,29.2,24,,,
Summer 2017,Neighborhood (UHF 34),Manhattan, Chelsea-Village,306308,Nitrogen Dioxide (NO2),20.1,31.3,24.9,,,
Summer 2018,Neighborhood (UHF 34),Manhattan, Chelsea-Village,306308,Nitrogen Dioxide (NO2),19.9,29.4,23.7,,,
Summer 2019,Neighborhood (UHF 34),Manhattan, Chelsea-Village,306308,Nitrogen Dioxide (NO2),21.4,28,24.1,,,
Winter 2014-15,Neighborhood (UHF 34),Manhattan, Chelsea-Village,306308,Nitrogen Dioxide (NO2),28.3,35.2,31.5,,,
Winter 2015-16,Neighborhood (UHF 34),Manhattan, Chelsea-Village,306308,Nitrogen Dioxide (NO2),27.3,33.6,30.2,,,
Winter 2016-17,Neighborhood (UHF 34),Manhattan, Chelsea-Village,306308,Nitrogen Dioxide (NO2),28.4,36.6,32,,,
Winter 2017-18,Neighborhood (UHF 34),Manhattan, Chelsea-Village,306308,Nitrogen Dioxide (NO2),27.7,35.6,31.1,,,
Winter 2018-19,Neighborhood (UHF 34),Manhattan, Chelsea-Village,306308,Nitrogen Dioxide (NO2),26.2,32.2,28.8,,,
Summer 2015,Neighborhood (UHF 34),Brooklyn, Coney Island - Sheepshead Bay,210,Nitrogen Dioxide (NO2),8.4,13.2,11.1,,,
Summer 2016,Neighborhood (UHF 34),Brooklyn, Coney Island - Sheepshead Bay,210,Nitrogen Dioxide (NO2),7.7,12.7,10.4,,,
Summer 2017,Neighborhood (UHF 34),Brooklyn, Coney Island - Sheepshead Bay,210,Nitrogen Dioxide (NO2),8.1,12.7,10.7,,,
Summer 2018,Neighborhood (UHF 34),Brooklyn, Coney Island - Sheepshead Bay,210,Nitrogen Dioxide (NO2),6.8,10.9,9.1,,,
Summer 2019,Neighborhood (UHF 34),Brooklyn, Coney Island - Sheepshead Bay,210,Nitrogen Dioxide (NO2),7.8,11.7,10,,,
Winter 2014-15,Neighborhood (UHF 34),Brooklyn, Coney Island - Sheepshead Bay,210,Nitrogen Dioxide (NO2),21.8,25.6,24,,,
Winter 2015-16,Neighborhood (UHF 34),Brooklyn, Coney Island - Sheepshead Bay,210,Nitrogen Dioxide (NO2),19,23,21.3,,,
Winter 2016-17,Neighborhood (UHF 34),Brooklyn, Coney Island - Sheepshead Bay,210,Nitrogen Dioxide (NO2),21.1,24.8,23.3,,,
Winter 2017-18,Neighborhood (UHF 34),Brooklyn, Coney Island - Sheepshead Bay,210,Nitrogen Dioxide (NO2),17.2,21.9,19.7,,,
Winter 2018-19,Neighborhood (UHF 34),Brooklyn, Coney Island - Sheepshead Bay,210,Nitrogen Dioxide (NO2),16.4,20.2,18.5,,,
Summer 2015,Neighborhood (UHF 34),Brooklyn, Downtown - Heights - Slope,202,Nitrogen Dioxide (NO2),15.1,19.5,17.4,,,
Summer 2016,Neighborhood (UHF 34),Brooklyn, Downtown - Heights - Slope,202,Nitrogen Dioxide (NO2),15.2,19.3,17.3,,,
Summer 2017,Neighborhood (UHF 34),Brooklyn, Downtown - Heights - Slope,202,Nitrogen Dioxide (NO2),14.2,18.9,16.6,,,
Summer 2018,Neighborhood (UHF 34),Brooklyn, Downtown - Heights - Slope,202,Nitrogen Dioxide (NO2),14.3,17.9,16.4,,,
Summer 2019,Neighborhood (UHF 34),Brooklyn, Downtown - Heights - Slope,202,Nitrogen Dioxide (NO2),16.1,19.6,18,,,
Winter 2014-15,Neighborhood (UHF 34),Brooklyn, Downtown - Heights - Slope,202,Nitrogen Dioxide (NO2),25.1,28.8,27,,,
Winter 2015-16,Neighborhood (UHF 34),Brooklyn, Downtown - Heights - Slope,202,Nitrogen Dioxide (NO2),23.8,27.5,25.7,,,
Winter 2016-17,Neighborhood (UHF 34),Brooklyn, Downtown - Heights - Slope,202,Nitrogen Dioxide (NO2),24.4,27.7,26.3,,,
Winter 2017-18,Neighborhood (UHF 34),Brooklyn, Downtown - Heights - Slope,202,Nitrogen Dioxide (NO2),25.5,28.6,27.2,,,
Winter 2018-19,Neighborhood (UHF 34),Brooklyn, Downtown - Heights - Slope,202,Nitrogen Dioxide (NO2),23.3,26.1,24.8,,,
Summer 2015,Neighborhood (UHF 34),Brooklyn, East Flatbush - Flatbush,207,Nitrogen Dioxide (NO2),13,16.3,14.5,,,
Summer 2016,Neighborhood (UHF 34),Brooklyn, East Flatbush - Flatbush,207,Nitrogen Dioxide (NO2),12.4,15.8,14,,,
Summer 2017,Neighborhood (UHF 34),Brooklyn, East Flatbush - Flatbush,207,Nitrogen Dioxide (NO2),12.2,15.5,13.8,,,
Summer 2018,Neighborhood (UHF 34),Brooklyn, East Flatbush - Flatbush,207,Nitrogen Dioxide (NO2),10.8,13.9,12.3,,,
Summer 2019,Neighborhood (UHF 34),Brooklyn, East Flatbush - Flatbush,207,Nitrogen Dioxide (NO2),11.3,14.4,12.8,,,
Winter 2014-15,Neighborhood (UHF 34),Brooklyn, East Flatbush - Flatbush,207,Nitrogen Dioxide (NO2),24.6,26.9,25.7,,,
Winter 2015-16,Neighborhood (UHF 34),Brooklyn, East Flatbush - Flatbush,207,Nitrogen Dioxide (NO2),22.5,25.2,23.8,,,
Winter 2016-17,Neighborhood (UHF 34),Brooklyn, East Flatbush - Flatbush,207,Nitrogen Dioxide (NO2),24.1,26.4,25.2,,,
Winter 2017-18,Neighborhood (UHF 34),Brooklyn, East Flatbush - Flatbush,207,Nitrogen Dioxide (NO2),22.5,25.9,24.3,,,
Winter 2018-19,Neighborhood (UHF 34),Brooklyn, East Flatbush - Flatbush,207,Nitrogen Dioxide (NO2),20.3,23,21.7,,,
Summer 2015,Neighborhood (UHF 34),Manhattan, East Harlem,303,Nitrogen Dioxide (NO2),16.6,19.9,18.6,,,
Summer 2016,Neighborhood (UHF 34),Manhattan, East Harlem,303,Nitrogen Dioxide (NO2),15.8,19.1,17.8,,,
Summer 2017,Neighborhood (UHF 34),Manhattan, East Harlem,303,Nitrogen Dioxide (NO2),16.4,19.9,18.6,,,
Summer 2018,Neighborhood (UHF 34),Manhattan, East Harlem,303,Nitrogen Dioxide (NO2),14.7,17.5,16.4,,,
Summer 2019,Neighborhood (UHF 34),Manhattan, East Harlem,303,Nitrogen Dioxide (NO2),15.2,17.8,16.7,,,
Winter 2014-15,Neighborhood (UHF 34),Manhattan, East Harlem,303,Nitrogen Dioxide (NO2),25.2,28.1,27,,,
Winter 2015-16,Neighborhood (UHF 34),Manhattan, East Harlem,303,Nitrogen Dioxide (NO2),24.2,27.1,25.9,,,
Winter 2016-17,Neighborhood (UHF 34),Manhattan, East Harlem,303,Nitrogen Dioxide (NO2),26.3,29.1,28.1,,,
Winter 2017-18,Neighborhood (UHF 34),Manhattan, East Harlem,303,Nitrogen Dioxide (NO2),25.3,27.7,26.8,,,
Winter 2018-19,Neighborhood (UHF 34),Manhattan, East Harlem,303,Nitrogen Dioxide (NO2),23.1,25.3,24.4,,,
Summer 2015,Neighborhood (UHF 34),Brooklyn, East New York,204,Nitrogen Dioxide (NO2),11.1,15.6,13.9,,,
Summer 2016,Neighborhood (UHF 34),Brooklyn, East New York,204,Nitrogen Dioxide (NO2),10.3,14.8,13.1,,,
Summer 2017,Neighborhood (UHF 34),Brooklyn, East New York,204,Nitrogen Dioxide (NO2),10.5,15.2,13.4,,,
Summer 2018,Neighborhood (UHF 34),Brooklyn, East New York,204,Nitrogen Dioxide (NO2),9.7,13.4,12,,,
Summer 2019,Neighborhood (UHF 34),Brooklyn, East New York,204,Nitrogen Dioxide (NO2),9.9,13.3,12,,,
Winter 2014-15,Neighborhood (UHF 34),Brooklyn, East New York,204,Nitrogen Dioxide (NO2),22.2,26.7,25,,,
Winter 2015-16,Neighborhood (UHF 34),Brooklyn, East New York,204,Nitrogen Dioxide (NO2),20.7,25,23.3,,,
Winter 2016-17,Neighborhood (UHF 34),Brooklyn, East New York,204,Nitrogen Dioxide (NO2),22.4,26.1,24.9,,,
Winter 2017-18,Neighborhood (UHF 34),Brooklyn, East New York,204,Nitrogen Dioxide (NO2),22.4,25.9,24.5,,,
Winter 2018-19,Neighborhood (UHF 34),Brooklyn, East New York,204,Nitrogen Dioxide (NO2),19.5,22.9,21.6,,,
Summer 2015,Neighborhood (UHF 34),Queens, Flushing - Clearview,403,Nitrogen Dioxide (NO2),12.6,16.2,14.5,,,
Summer 2016,Neighborhood (UHF 34),Queens, Flushing - Clearview,403,Nitrogen Dioxide (NO2),12.3,15.7,14.1,,,
Summer 2017,Neighborhood (UHF 34),Queens, Flushing - Clearview,403,Nitrogen Dioxide (NO2),12,15.8,13.9,,,
Summer 2018,Neighborhood (UHF 34),Queens, Flushing - Clearview,403,Nitrogen Dioxide (NO2),11.3,14.9,12.9,,,
Summer 2019,Neighborhood (UHF 34),Queens, Flushing - Clearview,403,Nitrogen Dioxide (NO2),11.8,15.9,13.6,,,
Winter 2014-15,Neighborhood (UHF 34),Queens, Flushing - Clearview,403,Nitrogen Dioxide (NO2),22.2,25.8,24,,,
Winter 2015-16,Neighborhood (UHF 34),Queens, Flushing - Clearview,403,Nitrogen Dioxide (NO2),20.8,24.5,22.7,,,
Winter 2016-17,Neighborhood (UHF 34),Queens, Flushing - Clearview,403,Nitrogen Dioxide (NO2),23.9,26.9,25.5,,,
Winter 2017-18,Neighborhood (UHF 34),Queens, Flushing - Clearview,403,Nitrogen Dioxide (NO2),22.4,26.9,24.4,,,
